visit,day_obs,seq_num,rotator_angle,science_program,band,alt,az,mjd
2026033100491,20260331,491,-45.92109287930342,BLOCK-T614_triplets,i,0.524293329952576,3.14158130123935,61131.27308027545
2026033100494,20260331,494,-46.13976030275209,BLOCK-T614_triplets,i,0.524293008532645,3.14158101898627,61131.2751081402
2026033100497,20260331,497,-46.347002090292634,BLOCK-T614_triplets,i,0.524292657145533,3.14158074675404,61131.27714260835
2026033100500,20260331,500,-46.55384569897293,BLOCK-T614_triplets,i,0.524292373265381,3.14158161065139,61131.279127005255
2026033100503,20260331,503,-46.72341547171261,BLOCK-T614_triplets,i,0.524292099035676,3.14158013170701,61131.281179495694
2026033100539,20260331,539,-15.182914135896127,BLOCK-T614_triplets,i,0.524343577829281,6.27874167262352,61131.323873309055
2026033100542,20260331,542,-15.182185582699608,BLOCK-T614_triplets,i,0.524343553403028,6.27873517974961,61131.3256582643
2026033100545,20260331,545,-15.18261093250182,BLOCK-T614_triplets,i,0.524343487696871,6.27871153354643,61131.32744011385
2026033100548,20260331,548,-15.180598712761773,BLOCK-T614_triplets,i,0.524343513369832,6.27872439968678,61131.329227865295
2026033100551,20260331,551,-15.18210198948519,BLOCK-T614_triplets,i,0.524343375169881,6.27868131270975,61131.3310271971
2026033100554,20260331,554,-15.179321292739296,BLOCK-T614_triplets,i,0.524343506489848,6.27870963349641,61131.332836567395
2026033100557,20260331,557,-15.179141448046174,BLOCK-T614_triplets,i,0.524343394609301,6.27869400235522,61131.334625172254
2026033100560,20260331,560,-15.17683170705596,BLOCK-T614_triplets,i,0.524343523297325,6.27871728922211,61131.33640205465
2026033100563,20260331,563,-15.176306128795646,BLOCK-T614_triplets,i,0.524343498270807,6.27870751596894,61131.3381922627
2026033100566,20260331,566,-15.173280586102972,BLOCK-T614_triplets,i,0.52434358960375,6.27874188699195,61131.339972555754
2026033100569,20260331,569,-15.173464944282086,BLOCK-T614_triplets,i,0.524343560837106,6.27872652669551,61131.3417531475
2026033100572,20260331,572,-15.172960463114991,BLOCK-T614_triplets,i,0.52434347832347,6.27871350844426,61131.3435400467
2026040100221,20260401,221,-60.148416043479855,BLOCK-T614_triplets,i,0.695018614337161,4.7101722192029,61132.10073169455
2026040100224,20260401,224,-60.14808319705845,BLOCK-T614_triplets,i,0.695021234364425,4.71017366401227,61132.1024954402
2026040100227,20260401,227,-60.147723490211284,BLOCK-T614_triplets,i,0.695002982181973,4.71016307372192,61132.10425761645
2026040100230,20260401,230,-60.14734331002725,BLOCK-T614_triplets,i,0.694990560532151,4.71015581683765,61132.1060226919
2026040100233,20260401,233,-60.146945121428274,BLOCK-T614_triplets,i,0.695023283722395,4.71017481461424,61132.1077750399
2026040100236,20260401,236,-60.146532842519775,BLOCK-T614_triplets,i,0.695004064278812,4.71016373731208,61132.1095508283
2026040100239,20260401,239,-60.14608845530285,BLOCK-T614_triplets,i,0.695007516507115,4.71016574669824,61132.1113125568
2026040100242,20260401,242,-60.14564755613614,BLOCK-T614_triplets,i,0.695025687145592,4.71017632465527,61132.113068538005
2026040100245,20260401,245,-60.14517679127275,BLOCK-T614_triplets,i,0.695010747098342,4.71016762747103,61132.1148286768
2026040100248,20260401,248,-60.14468916315777,BLOCK-T614_triplets,i,0.695021814868861,4.71017410650849,61132.116591488
2026040100251,20260401,251,-60.1441755239195,BLOCK-T614_triplets,i,0.695005230597741,4.71016447931518,61132.11835917445
2026040100254,20260401,254,-60.14365555382473,BLOCK-T614_triplets,i,0.695010017450625,4.71016363949348,61132.120107543495
2026040100257,20260401,257,-60.142976591949314,BLOCK-T614_triplets,i,0.694993226410584,4.71015748250971,61132.1221958704
2026040100260,20260401,260,-60.14243639642569,BLOCK-T614_triplets,i,0.695006860091979,4.71016542418204,61132.1239715159
2026040100263,20260401,263,-60.1418496649482,BLOCK-T614_triplets,i,0.695024324493157,4.7101756134084,61132.125745045894
2026040100266,20260401,266,-60.141242594257136,BLOCK-T614_triplets,i,0.695022120404802,4.71017431883423,61132.12750205175
2026040100269,20260401,269,-60.140631178075985,BLOCK-T614_triplets,i,0.695014764362661,4.71017001986443,61132.129265463096
2026040100272,20260401,272,-60.139998688719004,BLOCK-T614_triplets,i,0.695015422209201,4.7101704597013,61132.1310383729
2026040100275,20260401,275,-60.139336432927124,BLOCK-T614_triplets,i,0.695007498083533,4.71016590774436,61132.132802283595
2026040100278,20260401,278,-60.138667669828116,BLOCK-T614_triplets,i,0.695016832929179,4.71017136783799,61132.1345715354
2026040100281,20260401,281,-60.1379733168822,BLOCK-T614_triplets,i,0.695005870944187,4.71016317562593,61132.1363224283
2026040100284,20260401,284,-60.13726265994962,BLOCK-T614_triplets,i,0.695027968760748,4.7101760804749,61132.13809223035
2026040100287,20260401,287,-60.13655002234079,BLOCK-T614_triplets,i,0.695026784064413,4.71017552983092,61132.1398308582
2026040100290,20260401,290,-60.13580579256679,BLOCK-T614_triplets,i,0.695013937425501,4.7101680713933,61132.14158029745
2026040100303,20260401,303,-60.11705678251215,BLOCK-T614_triplets,i,0.869598207010032,4.71020361589275,61132.151803763554
2026040100306,20260401,306,-60.115901565195124,BLOCK-T614_triplets,i,0.869566456668019,4.71018707922924,61132.15357648015
2026040100309,20260401,309,-60.11475522826853,BLOCK-T614_triplets,i,0.869582593693993,4.71019463945526,61132.1553409521
2026040100312,20260401,312,-60.11357270161136,BLOCK-T614_triplets,i,0.869565001897675,4.71018265010443,61132.1571257478
2026040100315,20260401,315,-60.11240536387926,BLOCK-T614_triplets,i,0.869578180946022,4.71019394532084,61132.1588796587
2026040100318,20260401,318,-60.111210186526876,BLOCK-T614_triplets,i,0.869590301492644,4.71019909195555,61132.160658049455
2026040100321,20260401,321,-60.10997789233099,BLOCK-T614_triplets,i,0.869581341028956,4.71019386413294,61132.162442251545
2026040100324,20260401,324,-60.10876244828582,BLOCK-T614_triplets,i,0.869578799913726,4.71019241816734,61132.16418545965
2026040100327,20260401,327,-60.10753242679251,BLOCK-T614_triplets,i,0.869562571139237,4.7101828975223,61132.1659490093
2026040100330,20260401,330,-60.10628437085158,BLOCK-T614_triplets,i,0.869570659507214,4.71018754328952,61132.1677008356
2026040100333,20260401,333,-60.105024465009734,BLOCK-T614_triplets,i,0.869579576105229,4.71019451024451,61132.169463189
2026040100336,20260401,336,-60.10375604471259,BLOCK-T614_triplets,i,0.869592143619951,4.71019998756623,61132.17121958345
2026040100339,20260401,339,-60.102211999683774,BLOCK-T614_triplets,i,0.869559414565559,4.71018285067498,61132.1733013318
2026040100342,20260401,342,-60.100917137502776,BLOCK-T614_triplets,i,0.869567128690099,4.71018544822536,61132.1750662973
2026040100345,20260401,345,-60.099605850262975,BLOCK-T614_triplets,i,0.869581399162513,4.7101955574008,61132.1768109576
2026040100348,20260401,348,-60.098280304753715,BLOCK-T614_triplets,i,0.869578219501639,4.71019369424152,61132.1785597934
2026040100351,20260401,351,-60.09694825656283,BLOCK-T614_triplets,i,0.869580069663289,4.71019478198213,61132.1803074186
2026040100354,20260401,354,-60.09559141174503,BLOCK-T614_triplets,i,0.869561079106159,4.7101800783191,61132.1820676429
2026040100357,20260401,357,-60.094220952966964,BLOCK-T614_triplets,i,0.869571115941063,4.71018956770688,61132.1838181597
2026040100360,20260401,360,-60.09285646140386,BLOCK-T614_triplets,i,0.869586361985999,4.71019657520765,61132.1855655974
2026040100363,20260401,363,-60.091465155656074,BLOCK-T614_triplets,i,0.869567899663896,4.71018587807995,61132.1873164872
2026040100366,20260401,366,-60.0900624790425,BLOCK-T614_triplets,i,0.869571198731746,4.71018778107199,61132.18907522625
2026040100369,20260401,369,-60.08865142735388,BLOCK-T614_triplets,i,0.869588809921309,4.71019976556657,61132.19083648475
2026040100372,20260401,372,-60.087237083486514,BLOCK-T614_triplets,i,0.869562068900393,4.71018058003452,61132.192582720454
2026040100385,20260401,385,-59.77130691923323,BLOCK-T614_triplets,i,1.04458232986985,4.18993976254579,61132.2096861365
2026040100388,20260401,388,-59.768919331246025,BLOCK-T614_triplets,i,1.04457813875896,4.18994111412298,61132.21146554385
