state_index,seqid,raft,sensor,detector_id,detector_name,focal_x_mm,focal_y_mm,focal_r_mm
938,11143,R10,S02,29,R10_S02,-211.76,-169.26,271.0927
938,11143,R11,S01,37,R11_S01,-127.0,-169.25,211.6
938,11143,R12,S20,51,R12_S20,-42.25,-84.75,94.6975
938,11143,R13,S01,55,R13_S01,127.0,-169.25,211.6
938,11143,R14,S21,70,R14_S21,254.0,-84.75,267.7659
938,11143,R20,S20,78,R20_S20,-296.26,42.24,299.2561
938,11143,R21,S21,88,R21_S21,-127.0,42.25,133.8434
938,11143,R22,S02,92,R22_S02,42.25,-42.25,59.7505
938,11143,R23,S11,103,R23_S11,127.0,0.0,127.0
938,11143,R24,S22,116,R24_S22,296.25,42.25,299.2476
938,11143,R30,S21,124,R30_S21,-254.0,169.25,305.2238
938,11143,R31,S12,131,R31_S12,-84.75,127.0,152.6812
938,11143,R32,S21,142,R32_S21,0.0,169.25,169.25
938,11143,R33,S21,151,R33_S21,127.0,169.25,211.6
938,11143,R34,S20,159,R34_S20,211.75,169.25,271.0786
938,11143,R41,S21,169,R41_S21,-127.01,296.24,322.3192
938,11143,R42,S10,174,R42_S10,-42.26,253.99,257.4817
938,11143,R43,S20,186,R43_S20,84.74,296.24,308.1217
939,11154,R01,S11,4,R01_S11,-127.01,-254.01,283.994
939,11154,R02,S21,16,R02_S21,-0.01,-211.76,211.76
939,11154,R03,S02,20,R03_S02,169.24,-296.26,341.1923
939,11154,R10,S02,29,R10_S02,-211.76,-169.26,271.0927
939,11154,R11,S20,42,R11_S20,-169.25,-84.75,189.2832
939,11154,R12,S20,51,R12_S20,-42.25,-84.75,94.6975
939,11154,R13,S01,55,R13_S01,127.0,-169.25,211.6
939,11154,R14,S10,66,R14_S10,211.75,-127.0,246.9151
939,11154,R20,S10,75,R20_S10,-296.26,-0.01,296.26
939,11154,R21,S22,89,R21_S22,-84.75,42.25,94.6975
939,11154,R22,S20,96,R22_S20,-42.25,42.25,59.7505
939,11154,R23,S12,104,R23_S12,169.25,0.0,169.25
939,11154,R24,S11,112,R24_S11,254.0,0.0,254.0
939,11154,R30,S12,122,R30_S12,-211.75,127.0,246.9151
939,11154,R31,S00,126,R31_S00,-169.25,84.75,189.2832
939,11154,R32,S12,140,R32_S12,42.25,127.0,133.8434
939,11154,R33,S20,150,R33_S20,84.75,169.25,189.2832
939,11154,R34,S00,153,R34_S00,211.75,84.75,228.0803
939,11154,R41,S10,165,R41_S10,-169.26,253.99,305.221
939,11154,R42,S00,171,R42_S00,-42.26,211.74,215.916
